id,location,link_dom_ria_com,rooms,area_general_living_kitch,floor,price_usd,post_date,scrape_date1,views1,scrape_date2,views2,scrape_date_cal1,scrape_date_cal2,views_0,views_decision_%,views_decision1_%
31306982,вул. Олексія Дерев'янка 14,-harkov-pavlovo-pole-alekseya-derevyanko-ulitsa-31306982.html,2,44 м²\ 26 м²\ 6 м²,2th of 5,25 000,2024-08-26,2025-01-24,107.0,2025-01-29,169.0,151.0,156.0,16.05,-84.75,57.94
32402275,пров. Отакара Яроша 16,-harkov-shevchenkovskiy-otakara-yarosha-pereulok-32402275.html,2,95 м²\ 45 м²\ 25 м²,11th of 25,180 000,2025-01-20,2025-01-24,48.0,2025-01-29,70.0,4.0,9.0,15.96,-84.84,-11.17
32671372,вул. Драгоманова,-harkov-saltovka-dragomanova-ulitsa-32671372.html,1,40 м²\ 16 м²\ 12 м²,7th of 9,27 000,2025-01-20,2025-01-24,48.0,,,4.0,,15.96,-84.84,
31932496,вул. Літературна 3,-harkov-gosprom-galana-ulitsa-31932496.html,2,42 м²\ 5 м²,3th of 5,45 000,2025-01-07,2025-01-24,98.0,2025-01-29,119.0,17.0,22.0,15.95,-84.85,16.23
27762839,вул. Динамівська,-harkov-shatilovka-dinamovskaya-ulitsa-27762839.html,2,80 м²\ 20 м²,5th of 9,120 000,2025-01-18,2025-01-24,63.0,2025-01-29,79.0,6.0,11.0,15.92,-84.88,-7.9
26911941,вул. Стаханівська,-harkov-levada-plehanovskaya-ulitsa-26911941.html,4,159 м²\ 20 м²,16th of 16,130 000,2025-01-18,2025-01-24,62.0,2025-01-29,78.0,6.0,11.0,15.67,-85.11,-7.6
25731325,просп. Льва Ландау,-harkov-novye-doma-nemyshlyanskiy-50-letiya-sssr-prospekt-25731325.html,2,45 м²\ 3 м²,8th of 9,29 500,2025-01-20,2025-01-24,47.0,2025-01-29,95.0,4.0,9.0,15.63,-85.15,23.11
31021454,бул. Профспілковий 64,-harkov-holodnaya-gora-profsoyuznyy-bulvar-31021454.html,4,88 м²\ 50 м²\ 11 м²,5th of 10,48 000,2025-01-22,2025-01-24,27.0,2025-01-29,67.0,2.0,7.0,15.63,-85.15,-1.06
32464767,просп. Героїв Харкова 118,-harkov-tsentr-geroev-harkova-moskovskiy-prospekt-32464767.html,1,20 м²\ 12 м²\ 5 м²,1th of 6,13 500,2025-01-22,2025-01-24,27.0,2025-01-29,62.0,2.0,7.0,15.63,-85.15,-8.45
32581695,вул. Холодногірська 11,-harkov-holodnaya-gora-holodnogorskaya-ulitsa-32581695.html,3,101 м²\ 80 м²\ 12 м²,2th of 10,55 000,2025-01-22,2025-01-24,27.0,2025-01-29,53.0,2.0,7.0,15.63,-85.15,-21.74
31546331,вул. Свистунівська 18,-harkov-htz-svistunovskaya-ulitsa-31546331.html,1,31 м²\ 15 м²\ 5 м²,5th of 5,16 800,2025-01-22,2025-01-24,27.0,2025-01-29,52.0,2.0,7.0,15.63,-85.15,-23.21
31971992,вул. Велика Панасівська 76,-harkov-tsentr-bolshaya-panasovskaya-ulitsa-31971992.html,2,56 м²\ 33 м²\ 8 м²,1th of 12,34 000,2025-01-22,2025-01-24,27.0,2025-01-29,44.0,2.0,7.0,15.63,-85.15,-35.03
27878423,вул. Гвардійців-Широнінців 29А,-harkov-saltovka-gvardeytsev-shironintsev-ulitsa-27878423.html,3,104 м²\ 60 м²\ 20 м²,4th of 16,90 000,2025-01-22,2025-01-24,27.0,,,2.0,,15.63,-85.15,
32191105,просп. Героїв Харкова 206А,-harkov-novye-doma-nemyshlyanskiy-geroev-harkova-moskovskiy-prospekt-32191105.html,1,31 м²\ 18.3 м²\ 5.8 м²,10th of 10,28 000,2025-01-22,2025-01-24,27.0,,,2.0,,15.63,-85.15,
32668870,шосе Салтівське 264І,-harkov-saltovka-saltovskoe-shosse-32668870.html,1,41 м²\ 25 м²\ 9 м²,7th of 9,39 500,2025-01-20,2025-01-24,47.0,,,4.0,,15.63,-85.15,
25118304,вул. Клочківська 258,-harkov-shevchenkovskiy-klochkovskaya-ulitsa-25118304.html,2,70 м²\ 35 м²\ 25 м²,25th of 25,79 500,2024-12-25,2025-01-24,103.0,,,30.0,,15.62,-85.16,
32059133,вул. Волонтерська 60А,-harkov-holodnogorskiy-volonterskaya-ulitsa-32059133.html,1,38 м²\ 16.4 м²\ 7.5 м²,5th of 9,30 000,2024-09-08,2025-01-24,104.0,2025-01-29,12.0,138.0,143.0,15.6,-85.18,-88.46
32289404,вул. Борткевича 8,-harkov-kievskiy-bortkevicha-ulitsa-32289404.html,1,36 м²,5th of 9,12 200,2025-01-09,2025-01-24,93.0,2025-01-29,108.0,15.0,20.0,15.59,-85.19,9.33
31333616,вул. Борткевича 13,-harkov-juravlevka-bortkevicha-ulitsa-31333616.html,1,39 м²\ 16 м²\ 8.5 м²,2th of 16,16 500,2025-01-14,2025-01-24,80.0,2025-01-29,85.0,10.0,15.0,15.45,-85.32,-7.73
30408428,вул. Борткевича 11,-harkov-juravlevka-30408428.html,1,45.5 м²\ 19 м²\ 10.6 м²,14th of 16,17 000,2024-04-25,2025-01-24,103.0,,,274.0,,15.45,-85.32,
27361245,вул. Домобудівельна,-harkov-alekseevka-arhitektorov-ulitsa-27361245.html,2,50 м²\ 8 м²,8th of 9,45 000,2025-01-15,2025-01-24,76.0,2025-01-29,112.0,9.0,14.0,15.39,-85.38,24.4
32561298,просп. Льва Ландау 52А,-harkov-novye-doma-slobodskoy-lva-landau-prospekt-32561298.html,1,38 м²\ 17 м²\ 9 м²,5th of 9,24 000,2025-01-19,2025-01-24,54.0,2025-01-29,82.0,5.0,10.0,15.35,-85.42,3.13
32638642,вул. Андрія Ощєпкова 23,-harkov-novye-doma-andreya-oschepkova-ulitsa-32638642.html,1,32 м²\ 16 м²\ 6 м²,2th of 2,25 000,2025-01-19,2025-01-24,54.0,2025-01-29,74.0,5.0,10.0,15.35,-85.42,-6.93
32633626,вул. Старицького 15,-harkov-pavlovo-pole-staritskogo-ulitsa-32633626.html,3,68 м²\ 44 м²\ 8 м²,2th of 12,45 000,2025-01-14,2025-01-24,79.0,2025-01-29,112.0,10.0,15.0,15.25,-85.51,23.11
32550504,вул. Заливна 4,-harkov-levada-zalivnaya-ulitsa-32550504.html,2,42 м²\ 16 м²\ 11 м²,12th of 16,59 000,2025-01-16,2025-01-24,71.0,2025-01-29,90.0,8.0,13.0,15.24,-85.52,3.27
32320126,вул. Рогатинська Левада 20,-harkov-holodnogorskiy-rogatinskaya-levada-ulitsa-32320126.html,1,47 м²\ 30 м²\ 10 м²,10th of 16,35 000,2025-01-17,2025-01-24,66.0,2025-01-29,97.0,7.0,12.0,15.23,-85.53,14.46
